[16:57:09] | CASCADE -> Paper (209%)
[16:57:10] | STATS total=124 Glass=25 Paper=44 Plastic=55
[16:57:11] | CASCADE -> Paper (209%)
[16:57:11] | CASCADE -> Paper (209%)
[16:57:13] | CASCADE -> Paper (310%)
[16:57:13] | CASCADE -> Paper (430%)
[16:57:15] | CASCADE -> Paper (209%)
[16:57:16] | CASCADE -> Glass (610%)
[16:57:17] | CASCADE -> Glass (200%)
[16:57:20] | CASCADE -> Paper (310%)
[16:57:22] | CASCADE -> Paper (209%)
[16:57:24] | CASCADE -> Paper (209%)
[16:57:25] | CASCADE -> Plastic (330%)
[16:57:25] | CASCADE -> Paper (209%)
[16:57:26] | CASCADE -> Paper (209%)
[16:57:27] | CASCADE -> Plastic (230%)
[16:57:28] | CASCADE -> Plastic (230%)
[16:57:29] | CASCADE -> Paper (310%)
[16:57:30] | CASCADE -> Paper (230%)
[16:57:31] | CASCADE -> Plastic (230%)
[16:57:32] | CASCADE -> Plastic (230%)
[16:57:33] | CASCADE -> Glass (610%)
[16:57:34] | CASCADE -> Paper (209%)
[16:57:35] | CASCADE -> Plastic (230%)
[16:57:35] | CASCADE -> Paper (209%)
[16:57:37] | CASCADE -> Plastic (230%)
[16:57:38] | CASCADE -> Paper (209%)
[16:57:39] | CASCADE -> Plastic (230%)
[16:57:40] | STATS total=150 Glass=28 Paper=59 Plastic=63
[16:57:41] | CASCADE -> Glass (410%)
[16:57:42] | CASCADE -> Glass (610%)
[16:57:46] | CASCADE -> Glass (410%)
[16:57:46] | CASCADE -> Plastic (310%)
[16:57:48] | CASCADE -> Paper (430%)
[16:57:48] | CASCADE -> Plastic (310%)
[16:57:49] | CASCADE -> Glass (400%)
[16:57:51] | CASCADE -> Plastic (310%)
[16:57:52] | CASCADE -> Plastic (310%)
[16:57:54] | CASCADE -> Plastic (310%)
[16:57:56] | CASCADE -> Plastic (300%)
[16:57:57] | CASCADE -> Paper (610%)
[16:57:58] | CASCADE -> Glass (530%)
[16:58:00] | CASCADE -> Plastic (330%)
[16:58:01] | CASCADE -> Plastic (230%)
[16:58:01] | CASCADE -> Paper (430%)
[16:58:03] | CASCADE -> Glass (530%)
[16:58:03] | CASCADE -> Plastic (230%)
[16:58:04] | CASCADE -> Plastic (230%)
[16:58:05] | CASCADE -> Plastic (230%)
[16:58:06] | CASCADE -> Plastic (230%)
[16:58:07] | CASCADE -> Plastic (230%)
[16:58:08] | CASCADE -> Plastic (230%)
[16:58:10] | CASCADE -> Paper (330%)
[16:58:10] | STATS total=174 Glass=34 Paper=63 Plastic=77
[16:58:13] | CASCADE -> Glass (430%)
[16:58:14] | CASCADE -> Plastic (230%)
[16:58:19] | CASCADE -> Glass (280%)
[16:58:21] | CASCADE -> Glass (610%)
[16:58:23] | CASCADE -> Paper (310%)
[16:58:25] | CASCADE -> Paper (310%)
[16:58:30] | CASCADE -> Glass (610%)
[22:31:11] | ASYNC -> Glass (230%)
[22:31:13] | ASYNC -> Paper (230%)
[22:31:14] | ASYNC -> Glass (200%)
[22:31:14] | ASYNC -> Plastic (230%)
[22:31:15] | ASYNC -> Glass (200%)
[22:31:16] | ASYNC -> Plastic (230%)
[22:31:16] | ASYNC -> Plastic (230%)
[22:31:17] | ASYNC -> Plastic (230%)
[22:31:37] | STATS total=77 Glass=29 Paper=32 Plastic=16
